instância,número de cidades,tempo de execução,custo da solução (GRASP),distância utilizada
att48,48,0.92,10653,ATT
berlin52,52,0.97,7682,EUC_2D
kroA100,100,9.26,21369,EUC_2D
kroA150,150,33.39,27012,EUC_2D
kroA200,200,91.52,30099,EUC_2D
kroB100,100,9.51,22484,EUC_2D
kroB150,150,36.18,26698,EUC_2D
kroB200,200,105.22,30345,EUC_2D
kroC100,100,10.43,20884,EUC_2D
kroD100,100,10.83,21713,EUC_2D
kroE100,100,10.41,22328,EUC_2D
lin105,105,14.08,14605,EUC_2D
pr107,107,12.17,45008,EUC_2D
pr124,124,20.38,59246,EUC_2D
pr136,136,27.48,99805,EUC_2D
pr144,144,35.70,59005,EUC_2D
pr152,152,40.36,74572,EUC_2D
pr76,76,3.96,109225,EUC_2D
rat195,195,98.72,2424,EUC_2D
rat99,99,10.22,1234,EUC_2D
st70,70,2.99,676,EUC_2D
