instância,número de cidades,tempo de execução,custo da solução (GRASP),distância utilizada
att48,48,0.66,10638,ATT
berlin52,52,0.76,7801,EUC_2D
kroA100,100,7.59,21456,EUC_2D
kroA150,150,27.92,27363,EUC_2D
kroA200,200,81.74,30410,EUC_2D
kroB100,100,7.51,22540,EUC_2D
kroB150,150,31.93,26602,EUC_2D
kroB200,200,77.08,30457,EUC_2D
kroC100,100,7.67,20852,EUC_2D
kroD100,100,7.71,21690,EUC_2D
kroE100,100,7.79,22612,EUC_2D
lin105,105,9.39,14412,EUC_2D
pr107,107,10.45,44881,EUC_2D
pr124,124,15.78,59159,EUC_2D
pr136,136,21.46,98322,EUC_2D
pr144,144,23.53,58603,EUC_2D
pr152,152,26.60,74844,EUC_2D
pr76,76,3.31,109335,EUC_2D
rat195,195,68.46,2415,EUC_2D
rat99,99,7.15,1230,EUC_2D
st70,70,2.25,682,EUC_2D
