instância,número de cidades,tempo de execução,custo da solução (GRASP),distância utilizada
att48,48,0.90,10663,ATT
berlin52,52,1.13,7727,EUC_2D
kroA100,100,8.97,21346,EUC_2D
kroA150,150,33.75,27399,EUC_2D
kroA200,200,93.64,30141,EUC_2D
kroB100,100,9.17,22664,EUC_2D
kroB150,150,37.48,26560,EUC_2D
kroB200,200,95.79,30643,EUC_2D
kroC100,100,10.12,21048,EUC_2D
kroD100,100,10.59,21703,EUC_2D
kroE100,100,9.54,22483,EUC_2D
lin105,105,11.92,14536,EUC_2D
pr107,107,11.10,44967,EUC_2D
pr124,124,20.30,59777,EUC_2D
pr136,136,27.47,99603,EUC_2D
pr144,144,32.74,58636,EUC_2D
pr152,152,35.57,75451,EUC_2D
pr76,76,3.74,108590,EUC_2D
rat195,195,88.43,2398,EUC_2D
rat99,99,9.52,1241,EUC_2D
st70,70,2.88,677,EUC_2D
